"x" "y" "z"
"640" "17" 0.72 49.68
"641" "17" 0.72 50.4
"642" "17" 0.600000000000001 51
"643" "18" 0.72 0.72
"644" "18" 0.72 1.44
"645" "18" 0.72 2.16
"646" "18" 0.72 2.88
"647" "18" 0.72 3.6
"648" "18" 0.72 4.32
"649" "18" 0.72 5.04
"650" "18" 0.72 5.76
"651" "18" 0.72 6.48
"652" "18" 0.72 7.2
"653" "18" 0.72 7.92
"654" "18" 0.72 8.64
"655" "18" 0.72 9.36
"656" "18" 0.72 10.08
"657" "18" 0.72 10.8
"658" "18" 0.72 11.52
"659" "18" 0.72 12.24
"660" "18" 0.72 12.96
"661" "18" 0.72 13.68
"662" "18" 0.72 14.4
"663" "18" 0.72 15.12
"664" "18" 0.72 15.84
"665" "18" 0.72 16.56
"666" "18" 0.72 17.28
"667" "18" 0.72 18
"668" "18" 0.72 18.72
"669" "18" 0.72 19.44
"670" "18" 0.72 20.16
"671" "18" 0.72 20.88
"672" "18" 0.72 21.6
"673" "18" 0.72 22.32
"674" "18" 0.72 23.04
"675" "18" 0.72 23.76
"676" "18" 0.72 24.48
"677" "18" 0.72 25.2
"678" "18" 0.72 25.92
"679" "18" 0.72 26.64
"680" "18" 0.72 27.36
"681" "18" 0.72 28.08
"682" "18" 0.72 28.8
"683" "18" 0.72 29.52
"684" "18" 0.72 30.24
"685" "18" 0.72 30.96
"686" "18" 0.72 31.68
"687" "18" 0.72 32.4
"688" "18" 0.72 33.12
"689" "18" 0.72 33.84
"690" "18" 0.72 34.56
"691" "18" 0.72 35.28
"692" "18" 0.72 36
"693" "18" 0.72 36.72
"694" "18" 0.72 37.44
"695" "18" 0.72 38.16
"696" "18" 0.72 38.88
"697" "18" 0.72 39.6
"698" "18" 0.72 40.32
"699" "18" 0.72 41.04
"700" "18" 0.72 41.76
"701" "18" 0.72 42.48
"702" "18" 0.72 43.2
"703" "18" 0.72 43.92
"704" "18" 0.72 44.64
"705" "18" 0.72 45.36
"706" "18" 0.72 46.08
"707" "18" 0.72 46.8
"708" "18" 0.72 47.52
"709" "18" 0.72 48.24
"710" "18" 0.72 48.96
"711" "18" 0.72 49.68
"712" "18" 0.72 50.4
"713" "18" 0.72 51.12
"714" "18" 0.72 51.84
"715" "18" 0.72 52.56
"716" "18" 0.72 53.28
"717" "18" 0.72 54
"718" "18" 0 54
"719" "19" 0.72 0.72
"720" "19" 0.72 1.44
"721" "19" 0.72 2.16
"722" "19" 0.72 2.88
"723" "19" 0.72 3.6
"724" "19" 0.72 4.32
"725" "19" 0.72 5.04
"726" "19" 0.72 5.76
"727" "19" 0.72 6.48
"728" "19" 0.72 7.2
"729" "19" 0.72 7.92
"730" "19" 0.72 8.64
"731" "19" 0.72 9.36
"732" "19" 0.72 10.08
"733" "19" 0.72 10.8
"734" "19" 0.72 11.52
"735" "19" 0.72 12.24
"736" "19" 0.72 12.96
"737" "19" 0.72 13.68
"738" "19" 0.72 14.4
"739" "19" 0.72 15.12
"740" "19" 0.72 15.84
"741" "19" 0.72 16.56
"742" "19" 0.72 17.28
"743" "19" 0.72 18
"744" "19" 0.72 18.72
"745" "19" 0.72 19.44
"746" "19" 0.72 20.16
"747" "19" 0.72 20.88
"748" "19" 0.72 21.6
"749" "19" 0.72 22.32
"750" "19" 0.72 23.04
"751" "19" 0.72 23.76
"752" "19" 0.72 24.48
"753" "19" 0.72 25.2
"754" "19" 0.72 25.92
"755" "19" 0.72 26.64
"756" "19" 0.72 27.36
"757" "19" 0.72 28.08
"758" "19" 0.72 28.8
"759" "19" 0.72 29.52
"760" "19" 0.72 30.24
"761" "19" 0.72 30.96
"762" "19" 0.72 31.68
"763" "19" 0.72 32.4
"764" "19" 0.72 33.12
"765" "19" 0.72 33.84
"766" "19" 0.72 34.56
"767" "19" 0.72 35.28
"768" "19" 0.72 36
"769" "19" 0.72 36.72
"770" "19" 0.72 37.44
"771" "19" 0.72 38.16
"772" "19" 0.72 38.88
"773" "19" 0.72 39.6
"774" "19" 0.72 40.32
"775" "19" 0.72 41.04
"776" "19" 0.72 41.76
"777" "19" 0.72 42.48
"778" "19" 0.72 43.2
"779" "19" 0.72 43.92
"780" "19" 0.72 44.64
"781" "19" 0.72 45.36
"782" "19" 0.72 46.08
"783" "19" 0.72 46.8
"784" "19" 0.72 47.52
"785" "19" 0.72 48.24
"786" "19" 0.72 48.96
"787" "19" 0.72 49.68
"788" "19" 0.72 50.4
"789" "19" 0.72 51.12
"790" "19" 0.72 51.84
"791" "19" 0.72 52.56
"792" "19" 0.72 53.28
"793" "19" 0.72 54
"794" "19" 0.72 54.72
"795" "19" 0.72 55.44
"796" "19" 0.72 56.16
"797" "19" 0.72 56.88
"798" "19" 0.120000000000005 57
"799" "20" 0.72 0.72
"800" "20" 0.72 1.44
"801" "20" 0.72 2.16
"802" "20" 0.72 2.88
"803" "20" 0.72 3.6
"804" "20" 0.72 4.32
"805" "20" 0.72 5.04
"806" "20" 0.72 5.76
"807" "20" 0.72 6.48
"808" "20" 0.72 7.2
"809" "20" 0.72 7.92
"810" "20" 0.72 8.64
"811" "20" 0.72 9.36
"812" "20" 0.72 10.08
"813" "20" 0.72 10.8
"814" "20" 0.72 11.52
"815" "20" 0.72 12.24
"816" "20" 0.72 12.96
"817" "20" 0.72 13.68
"818" "20" 0.72 14.4
"819" "20" 0.72 15.12
"820" "20" 0.72 15.84
"821" "20" 0.72 16.56
"822" "20" 0.72 17.28
"823" "20" 0.72 18
"824" "20" 0.72 18.72
"825" "20" 0.72 19.44
"826" "20" 0.72 20.16
"827" "20" 0.72 20.88
"828" "20" 0.72 21.6
"829" "20" 0.72 22.32
"830" "20" 0.72 23.04
"831" "20" 0.72 23.76
"832" "20" 0.72 24.48
"833" "20" 0.72 25.2
"834" "20" 0.72 25.92
"835" "20" 0.72 26.64
"836" "20" 0.72 27.36
"837" "20" 0.72 28.08
"838" "20" 0.72 28.8
"839" "20" 0.72 29.52
"840" "20" 0.72 30.24
"841" "20" 0.72 30.96
"842" "20" 0.72 31.68
"843" "20" 0.72 32.4
"844" "20" 0.72 33.12
"845" "20" 0.72 33.84
"846" "20" 0.72 34.56
"847" "20" 0.72 35.28
"848" "20" 0.72 36
"849" "20" 0.72 36.72
"850" "20" 0.72 37.44
"851" "20" 0.72 38.16
"852" "20" 0.72 38.88
